word	link
미미하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005863/MOV000359865_700X466.mp4
(입을)닫다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735726/MOV000241944_700X466.mp4
말없다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
묵묵하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
침묵	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
함구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
놀리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160105/240984/MOV000252440_700X466.mp4
순서	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
목차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
순번	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
순위	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
절차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
차례	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
프로그램	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
숙모	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241569/MOV000253593_700X466.mp4
작은어머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241569/MOV000253593_700X466.mp4
솔직하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735253/MOV000254953_700X466.mp4
정직	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735253/MOV000254953_700X466.mp4
특히	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
각별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
특별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
특수	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
특별히	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
뜨다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733646/MOV000251503_700X466.mp4
개안	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733646/MOV000251503_700X466.mp4
장롱	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005898/MOV000359900_700X466.mp4
사기꾼	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732494/MOV000245616_700X466.mp4
축구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630160/MOV000259180_700X466.mp4
차다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630160/MOV000259180_700X466.mp4
점차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764385/MOV000235303_700X466.mp4
점점	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764385/MOV000235303_700X466.mp4
차차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764385/MOV000235303_700X466.mp4
차츰	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764385/MOV000235303_700X466.mp4
사기	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735002/MOV000253810_700X466.mp4
기만	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735002/MOV000253810_700X466.mp4
보류	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734996/MOV000253747_700X466.mp4
유보	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734996/MOV000253747_700X466.mp4
